日時,ルート,遅延(分),週末フラグ
2026-02-23 10:48:18,ルートA (上尾駅行),4,0
2026-02-23 10:48:28,ルートB (宮原駅行),3,0
2026-02-23 10:49:16,ルートC (上尾駅から),0,0
2026-02-23 10:49:26,ルートD (宮原駅から),1,0
2026-02-23 10:51:49,ルートA (上尾駅行),3,0
2026-02-23 10:51:49,ルートB (宮原駅行),4,0
2026-02-23 10:52:44,ルートC (上尾駅から),0,0
2026-02-23 10:52:44,ルートD (宮原駅から),1,0
2026-02-23 10:52:54,ルートA (上尾駅行),0,0
2026-02-23 10:52:54,ルートB (宮原駅行),5,0
2026-02-23 10:56:21,ルートA (上尾駅行),0,0
2026-02-23 10:56:21,ルートB (宮原駅行),6,0
2026-02-23 10:56:37,ルートA (上尾駅行),0,0
2026-02-23 10:56:37,ルートB (宮原駅行),0,0
